name,category,price_range,neighborhood,info,ratings,ratings_histogram,Claimed?,HasWebsite,reviews,first_review,last_review,permanently_closed,AvgLast_compound,AvgLast_star,AvgLast_subjectivity,AvgReviewN,Last_compound_coef,Last_compound_intrcpt,Last_star_coef,Last_star_intrcpt,Last_subjectivity_coef,Last_subjectivity_intrcpt
Sullivan’s Steakhouse,"Steakhouses,Lounges",$31-60,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Classy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 117}, {4: 129}, {3: 57}, {2: 24}, {1: 19}]",1,1,346.0,2005-10-17,2017-08-24,0,,,,,,,,,,
Honky Tonk BBQ,"Barbeque,Dive Bars",$11-30,Pilsen,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Loud'}, {'Music': 'Live'}, {'Good For Dancing': 'Yes'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",3.5,"[{5: 219}, {4: 245}, {3: 120}, {2: 98}, {1: 81}]",1,1,763.0,2007-10-08,2017-08-08,0,,,,,,,,,,
The Map Room,"Pubs,Coffee & Tea",Moderate,Bucktown,"[{'Takes Reservations': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'No'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Groups': 'Yes'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'No'}, {'Good for Working': 'Yes'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 271}, {4: 296}, {3: 81}, {2: 34}, {1: 48}]",0,1,730.0,2005-08-15,2017-08-16,0,,,,,,,,,,
F. O’Mahony’s,"Bars,American (Traditional)",$11-30,Lakeview,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Brunch, Lunch'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Music': 'Juke Box'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}, {'Gender Neutral Restrooms': 'Yes'}]",3.5,"[{5: 50}, {4: 65}, {3: 43}, {2: 37}, {1: 30}]",1,1,225.0,2007-08-20,2017-08-26,0,,,,,,,,,,
Joy Yee’s Noodle Shop,"Asian Fusion,Chinese",$11-30,University Village,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Lunch, Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",3.5,"[{5: 115}, {4: 206}, {3: 125}, {2: 62}, {1: 61}]",1,1,569.0,2006-08-08,2017-09-02,0,,,,,,,,,,
Room 22,"Nightlife,Restaurants",,Near North Side,"[{'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Good for Groups': 'Yes'}]",3.0,"[{5: 0}, {4: 0}, {3: 1}, {2: 0}, {1: 0}]",0,0,1.0,2005-11-05,2005-11-05,0,,,,,,,,,,
Basil Leaf Cafe,Italian,$11-30,Lincoln Park,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Gender Neutral Restrooms': 'Yes'}]",4.0,"[{5: 71}, {4: 109}, {3: 46}, {2: 25}, {1: 13}]",1,1,264.0,2005-07-19,2017-08-24,0,,,,,,,,,,
Rosebud Steakhouse,Steakhouses,$31-60,"Streeterville, Near North Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Dinner'}, {'Parking': 'Valet'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Classy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 155}, {4: 83}, {3: 32}, {2: 19}, {1: 18}]",1,1,307.0,2005-07-14,2017-08-28,0,,,,,,,,,,
The Motel Bar,"Salad,Cocktail Bars,Burgers",$11-30,Near North Side,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Late Night'}, {'Parking': 'Garage, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Music': 'Juke Box'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Best Nights': 'Wed, Fri, Sat'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Drive-Thru': 'No'}, {'Caters': 'No'}, {'Has Pool Table': 'Yes'}]",3.0,"[{5: 19}, {4: 63}, {3: 59}, {2: 39}, {1: 37}]",1,1,217.0,2005-07-07,2017-08-13,0,,,,,,,,,,
Theory,"Sports Bars,American (New)",$11-30,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Best Nights': 'Fri, Sat, Sun'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 234}, {4: 164}, {3: 90}, {2: 49}, {1: 35}]",1,1,572.0,2008-12-10,2017-09-03,0,,,,,,,,,,
Taqueria Traspasada,Mexican,Under $10,West Town,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'No'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Lunch, Dinner, Late Night'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'No'}]",4.0,"[{5: 162}, {4: 102}, {3: 28}, {2: 14}, {1: 15}]",1,0,321.0,2006-01-23,2017-08-25,0,,,,,,,,,,
South Water Kitchen,"American (New),Breakfast & Brunch,Bars",$11-30,The Loop,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}]",3.5,"[{5: 89}, {4: 134}, {3: 106}, {2: 65}, {1: 41}]",1,1,435.0,2005-12-13,2017-08-26,0,,,,,,,,,,
The Long Room,"Bars,Coffee & Tea,Breakfast & Brunch",$11-30,Lakeview,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Good for Working': 'Yes'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 119}, {4: 111}, {3: 20}, {2: 14}, {1: 5}]",1,1,269.0,2005-08-21,2017-07-05,0,,,,,,,,,,
Leon’s Famous Ribs,American (New),,"DePaul, Lincoln Park",[],5.0,"[{5: 1}, {4: 0}, {3: 0}, {2: 0}, {1: 0}]",0,0,1.0,2008-03-13,2008-03-13,0,,,,,,,,,,
Shawarma Inn,"Middle Eastern,Sandwiches,Seafood",$11-30,Lincoln Square,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Lunch, Dinner'}, {'Parking': 'Private Lot'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 116}, {4: 51}, {3: 25}, {2: 15}, {1: 21}]",1,1,228.0,2009-10-12,2017-08-17,0,,,,,,,,,,
Uncommon Ground,"American (New),Breakfast & Brunch,Sandwiches",$11-30,Edgewater,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Street, Private Lot'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Gender Neutral Restrooms': 'Yes'}]",3.5,"[{5: 170}, {4: 253}, {3: 117}, {2: 94}, {1: 51}]",1,1,685.0,2007-12-02,2017-08-26,0,,,,,,,,,,
Green Mill,"Jazz & Blues,Lounges",Moderate,Uptown,"[{'Takes Reservations': 'No'}, {'Accepts Credit Cards': 'No'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Noise Level': 'Loud'}, {'Music': 'Live'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Best Nights': 'Fri, Sat, Sun'}, {'Coat Check': 'No'}, {'Smoking': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 328}, {4: 222}, {3: 63}, {2: 47}, {1: 88}]",0,1,748.0,2005-08-10,2017-09-03,0,,,,,,,,,,
Le’s Pho,Vietnamese,Under $10,Uptown,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Brunch, Lunch, Dinner'}, {'Parking': 'Private Lot'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",3.5,"[{5: 58}, {4: 69}, {3: 43}, {2: 27}, {1: 19}]",0,0,216.0,2008-05-12,2017-08-21,0,,,,,,,,,,
Arun’s Thai Restaurant,Thai,Above $61,Irving Park,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Intimate'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",4.0,"[{5: 100}, {4: 45}, {3: 30}, {2: 19}, {1: 14}]",1,1,208.0,2004-11-23,2017-07-23,0,,,,,,,,,,
Chi Cafe,"Chinese,Cafes,Fast Food",Under $10,Chinatown,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Lunch, Dinner, Late Night'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Drive-Thru': 'No'}, {'Caters': 'No'}]",4.0,"[{5: 295}, {4: 353}, {3: 135}, {2: 46}, {1: 44}]",1,1,873.0,2007-11-08,2017-09-02,0,,,,,,,,,,
Golden Apple Grill & Breakfast House,"American (Traditional),Diners,Juice Bars & Smoothies",Under $10,Lakeview,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'Yes'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Breakfast, Late Night'}, {'Parking': 'Street, Private Lot'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Beer & Wine Only'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'No'}]",3.5,"[{5: 53}, {4: 96}, {3: 57}, {2: 27}, {1: 15}]",1,1,247.0,2005-08-17,2017-08-30,0,,,,,,,,,,
Naha,American (New),$31-60,"River North, Near North Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Valet'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Upscale'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",3.5,"[{5: 184}, {4: 204}, {3: 150}, {2: 77}, {1: 32}]",1,1,647.0,2005-08-30,2017-07-28,0,,,,,,,,,,
Atino’s Pizza,Pizza,Under $10,,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",3.0,"[{5: 7}, {4: 7}, {3: 7}, {2: 1}, {1: 7}]",0,1,29.0,2009-01-26,2017-07-13,0,,,,,,,,,,
Fado Irish Pub & Restaurant,"Irish,Irish Pub",$11-30,"River North, Near North Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Best Nights': 'Thu, Fri, Sat'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 178}, {4: 238}, {3: 85}, {2: 31}, {1: 29}]",1,1,561.0,2005-07-29,2017-08-31,0,,,,,,,,,,
La Peña Restaurante,Latin American,$11-30,Portage Park,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",3.0,"[{5: 13}, {4: 23}, {3: 14}, {2: 18}, {1: 15}]",0,1,83.0,2005-08-24,2017-05-27,0,,,,,,,,,,
One North Kitchen & Bar,American (New),$11-30,The Loop,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Lunch'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Loud'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",3.0,"[{5: 26}, {4: 48}, {3: 51}, {2: 31}, {1: 16}]",1,1,172.0,2006-02-03,2017-09-01,0,,,,,,,,,,
Tempo Cafe,"Coffee & Tea,Breakfast & Brunch",$11-30,Near North Side,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Breakfast'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Caters': 'No'}, {'Good for Working': 'No'}]",3.5,"[{5: 118}, {4: 216}, {3: 150}, {2: 64}, {1: 48}]",0,0,596.0,2005-08-05,2017-08-29,0,,,,,,,,,,
Serbian Village Restaurant,"Jazz & Blues,Bars,Modern European",$11-30,Irving Park,"[{'Accepts Credit Cards': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Has TV': 'Yes'}]",4.0,"[{5: 4}, {4: 5}, {3: 0}, {2: 1}, {1: 0}]",0,0,10.0,2008-03-04,2017-04-06,0,,,,,,,,,,
Tocco,"Italian,Pizza",$11-30,"West Town, Wicker Park","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 116}, {4: 68}, {3: 39}, {2: 24}, {1: 33}]",1,1,280.0,2009-01-24,2017-08-19,0,,,,,,,,,,
Mercadito,"Mexican,Lounges,Cocktail Bars",$31-60,"River North, Near North Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'Yes'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Garage, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Very Loud'}, {'Music': 'Background'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Best Nights': 'Thu, Fri, Sat'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",3.5,"[{5: 443}, {4: 652}, {3: 354}, {2: 219}, {1: 114}]",1,1,1782.0,2009-09-17,2017-08-31,0,,,,,,,,,,
Harry Caray’s Italian Steakhouse - River North,"Italian,Steakhouses",$31-60,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'Yes'}, {'Accepts Android Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 169}, {4: 227}, {3: 109}, {2: 53}, {1: 24}]",1,1,582.0,2005-07-20,2017-09-04,0,,,,,,,,,,
Azucar Tapas Restaurant and Cocktail Bar,Tapas Bars,$11-30,Logan Square,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",3.5,"[{5: 80}, {4: 75}, {3: 36}, {2: 35}, {1: 33}]",1,1,259.0,2007-03-22,2017-07-23,0,,,,,,,,,,
Fireplace Inn,"Barbeque,Sports Bars,American (Traditional)",$11-30,"Old Town, Near North Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Best Nights': 'Thu, Fri, Sat'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}]",2.5,"[{5: 31}, {4: 73}, {3: 84}, {2: 70}, {1: 92}]",1,1,350.0,2005-07-11,2017-08-19,0,,,,,,,,,,
Azteca Grill,Mexican,Under $10,"Wrigleyville, Lakeview","[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Good For': 'Lunch, Dinner, Late Night'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Gender Neutral Restrooms': 'Yes'}]",4.0,"[{5: 168}, {4: 137}, {3: 38}, {2: 31}, {1: 21}]",1,1,395.0,2008-07-24,2017-09-02,0,,,,,,,,,,
