date,star,text,compound,neutral,positive,negative,subjectivity
2017-04-27,5.0,"Very good beef, and nice service. Open 24/7 so you can come any time of the night! Also plenty of healthy dishes for all you health ppl!",0.851,0.721,0.279,0.0,0.6950000000000001
2017-04-27,5.0,"There food is amazing. I love the variety of food selections and majoroof them are healthy.  Their smoothies are to die for. I love the Pineapple craze especially with the added fruits I get and, the wait is not that long",0.886,0.611,0.284,0.105,0.6666666666666666
2017-04-26,2.0,I'm giving this place two stars not Bc of the quality of the food but Bc of service. We come here every morning after our 5 am workout and we get smoothies. Uhm there hours are for 7 am. They AREA NEVER OPEN ON TIME! it's three ppl out her waiting and no one is even in the building. This is pitiful. More ppl need to complain and they need to do better. Even with the food being great I will not spending money with someone who don't respect my time.,-0.4162,0.763,0.105,0.132,0.5625
2017-04-18,5.0,"I've only been here for the smoothies and they have always been fantastic. I can't wait to come back for lunch sometime. The prices are reasonable for the portions you get, and the service has been great. One of my favorite spots for a quick drink that's refreshing and always fresh",0.9186,0.776,0.224,0.0,0.6944444444444444
2017-04-13,5.0,Went here because I wanted a fast option on restaurant row. The bright sign is welcoming and open late. Great options for vegetarians. Try the burgers!,0.8805,0.673,0.327,0.0,0.65
2017-04-07,1.0,The owner is terribly rude. I don't even understand how anyone could even want to come to this place with her awful attitude. I honestly recommend she just people work for her because the food is good.,-0.2263,0.592,0.205,0.203,0.775
2017-04-04,5.0,Great tasting chicken burgers. The best waffle fries in town. The only thing it's missing is calories listed on the menu. This is my go-to spot.,0.7964,0.687,0.248,0.066,0.61
2017-04-01,5.0,This place is amazing. Been coming here for 15 years and the quality has always been top notch. The chicken on sandwiches is*huge* and always juicy and flavorful. The salads are fantastic with great dressings. Love!!!,0.9605,0.628,0.372,0.0,0.7666666666666666
2017-03-31,5.0,"The food and service is amazing. Although one of my orders got messed up, the staff was more than happy to correct it. My favorite is the New York Steak sub with the hot sauce. I also recommend the Cranberry Pleasure smoothie, very delicious and refreshing. Will definitely be coming back soon!",0.9704,0.62,0.345,0.035,0.7204545454545455
2017-03-26,5.0,I go here every opportunity I have to get their smoothies and their shrimp quesadillas. Everything is tasty here and you get excellent service,0.7579,0.755,0.245,0.0,1.0
2017-03-26,5.0,Really yummy chicken divine. This place is down the street from me and open late. Love it!,0.9193,0.537,0.463,0.0,0.5231481481481481
2017-03-22,5.0,Best juices and smoothies in the west side Chicago. Vegetarian friendly and a perfect location. My favorite: Blueberry Banana Smoothie or the Cold Fighter for when im under the weather. Check it out!!,0.9458,0.624,0.376,0.0,0.76
2017-03-21,5.0,"Wow just found this place. I've been missing out. Great food and smoothies for a cheap price and they deliver late! A lot of healthy options made in a quick fast food fashion. The food was so good I forgot to take a pic until halfway done with the veggie burger I was devouring.  Will definitely be back, and... I heard they deliver.. ;)",0.9519,0.7,0.269,0.031,0.5727272727272726
2017-03-07,5.0,"Great late night eat, and always friendly service.  I highly recommend fixing your cravings with a fairly healthy menu here.",0.9152,0.523,0.477,0.0,0.5780000000000001
2017-03-03,1.0,"These guys made me a smoothie with plastic in it once, and I also found a hair in my chicken sandwich the other time I went there. Never again, horrible customer service as well. The previous review was just so I could Get a free cookie . That's why they have a high yell score lol. Cause everyone who gives them 5 stars gets a free cookie",0.819,0.77,0.178,0.052,0.6664583333333334
2017-01-16,5.0,THIS PLACE IS GREAT!! They have amazing smoothies and their burgers are fenomenal! The workers are super friendly and they're open almost all day! I highly recommend this grill!,0.967,0.539,0.461,0.0,0.6427777777777778
2017-01-14,5.0,"This was my first visit to Jubilee. Late Saturday night. Big menu, everything looks good, and they have Merkts!!! Bonus right there! I got the cheddar bacon chicken sandwich and cheddar fries. It was all delicious and I will definitely be back.",0.9321,0.72,0.28,0.0,0.5148809523809524
2017-01-14,5.0,The best chicken sandwiches in chicago. Very late chicken breast and awesome waffle fries.,0.8519,0.591,0.409,0.0,0.796
2017-01-11,5.0,"This is a fantastic fast food joint, very bare bones, but perfect for carry-out. I would recommend the turkey burger and fries. Enjoy!",0.945,0.528,0.472,0.0,0.626
2017-01-06,4.0,Speedy service and righteous chicken. Nice salad choices. Offer good soup too. Take it to go or eat there.,0.6908,0.749,0.251,0.0,0.85
2017-01-06,5.0,"Friendly folks, excellent food. Jubilee is a company favorite being in Fulton. We go for the Marinated Chicken Sandwich and side of waffle fries. It's definitely worth checking out!",0.9299,0.609,0.391,0.0,0.7100000000000001
2017-01-06,5.0,"Jubilee is a lunch hot spot for West Loopers! Their large chicken sandwiches are the best bang for your buck. Just steps from the Halsted bus stop, Jubilee is also a great place to stop for a quick, made to order breakfast!",0.7568,0.725,0.184,0.091,0.6297619047619047
2017-01-05,5.0,The best burgers and smoothies EVER!! The service is grand as well. Try one of their lavender specialty sodas.,0.8715,0.618,0.382,0.0,0.65
2016-12-27,5.0,"For sure the best smoothies in chicago. My favorite is the blueberry bananas Everything on the menu is great. They have everything from salads, vegetarian options and burgers!! The ingredients are always so fresh and everything is consistent. It's also great because they are open super late (4am). You can't go wrong with his place!!!",0.9823,0.624,0.376,0.0,0.645959595959596
2016-12-13,5.0,"this place is seriously my favorite. try the bluberry bannana smoothe and the rueban. its unreal. open late, healthy eats!",0.6476,0.688,0.243,0.069,0.65
2016-12-10,5.0,Stopped in after driving for Uber during the snowstorm- had a buffalo chicken sandwich- to die for!,-0.7263,0.697,0.0,0.303,0.95
2016-12-03,4.0,"They have really good quality food---don't expect to come in here if you're looking for like a greasy gyro spot. That also means don't expect the prices of a greasy gyro spot. You'll pay more here, but it's for legit food. They also don't keep things under a heat lamp so plan to wait about 10 minutes for your food. Usually I get a grilled chicken sandwich or salad, both taste great. The veggie quesadilla is amazing. Have not tried their juices but they fresh squeeze them in house so I imagine they are good as well.",0.9761,0.763,0.226,0.011,0.6312499999999999
2016-11-15,4.0,I had the buffalo chicken sandwich. The chicken was very high quality and the sauce was very flavorful and spicy. The prices are reasonable considering the quality of the food.  Most sandwiches are $8-10.,0.0,1.0,0.0,0.0,0.6669999999999999
